participant_id,context_a,context_b,dominant_cosine,top2_mean_angle_deg,top2_max_angle_deg,eigenvalue_distance,spectral_radius_diff,operator_frobenius_distance,bin_clicks
P21,1,3,0.14197594924999407,32.761668996187,48.473894853901264,0.7261672591467757,0.011676540692617032,0.6668134888112341,10
P21,1,4,0.951237611575141,26.20059641325409,41.82483602768891,0.013656848306557667,0.013656848306557667,0.7584196284710326,10
P21,2,3,0.08970396441708227,67.86181029175779,87.51805750320649,0.5820993761723721,0.15574442366702074,0.7849732477964628,10
P21,2,4,0.18078583168715492,46.292221648271685,72.47327701621182,0.15772473128096137,0.15772473128096137,0.8375219690162706,10
P21,3,4,0.18126787904500405,36.7261200728615,61.92746564892888,0.7398241074533334,0.001980307613940635,0.7125126939579323,10
P22,1,2,0.6106094052537722,40.0108911945904,55.00080988623826,0.14607051434644858,0.14607051434644858,0.4904081469945997,10
P22,1,3,0.469653984176773,17.912043312085654,35.4246204316189,0.12097433187068907,0.12097433187068907,0.5894250662360102,10
P22,1,4,0.05407118369291141,77.24835072315952,77.24835072315952,0.46823857863789536,0.2509698506977963,0.6410067636060554,10
P22,2,3,0.9439979211115119,25.74027305588339,49.64136039277894,0.02509618247575951,0.02509618247575951,0.46418164084843155,10
P22,2,4,0.5270717046592476,58.017659983557955,58.017659983557955,0.3380671298623824,0.10489933635134771,0.46794578748300153,10
P22,3,4,0.40561753286275287,56.67285828303624,56.67285828303624,0.3595637397261723,0.12999551882710722,0.5705171667598353,10
P23,1,2,0.6657299847779714,38.98593014284393,38.98593014284393,0.7534096861759298,0.12717606617482347,1.0905252744135245,10
P23,1,3,0.03697633447046799,30.4054436758137,42.60465693147354,0.8293019360718035,0.07787420047166882,0.7178541674162716,10
P23,1,4,0.7485914343804903,52.33895054654078,82.22051622941642,0.09687838881213384,0.09687838881213384,0.7857654408095123,10
P23,2,3,0.41292860443323776,55.54356645279943,55.54356645279943,0.19027442852749685,0.049301865703154646,0.8658779995019211,10
P23,2,4,0.7805053717461813,12.118984747291524,12.118984747291524,0.6592343079574853,0.030297677362689623,0.6469432750639644,10
P23,3,4,0.6855706810296698,47.60669603314032,82.5306070316755,0.7324235472596696,0.019004188340465022,0.8336474630484314,10
P24,1,2,0.11645329237179418,15.88855162559895,25.809372381680856,0.5548812421094352,0.1661546078825847,0.4922555626368397,10
P24,1,3,0.7483984642070247,59.99514504899083,82.62463607507213,0.04728623167486784,0.04728623167486784,0.5334791812131342,10
P24,1,4,0.12644579728186742,35.64241187331018,67.37400757533013,0.7604426988603773,0.039406848868357325,0.6220078922461069,10
P24,2,3,0.19731628092436926,66.28707258624814,86.05652555019914,0.5075950104345675,0.11886837620771687,0.46779697075302656,10
P24,2,4,0.5376310274541278,41.20248914970253,57.54577969420402,0.20556145675094203,0.20556145675094203,0.4619681089137612,10
P24,3,4,0.03331178012895178,31.80842126210873,51.62558594848239,0.7131564671855095,0.08669308054322516,0.5607380472956403,10
P25,1,2,0.7297468873856795,37.09573735710728,59.24595191415994,0.16731664307198452,0.16731664307198452,1.0605997024798783,10
P25,1,3,0.537347315113711,40.48404326654766,79.9634767028044,0.1976911136290247,0.1976911136290247,1.0044378087766417,10
P25,1,4,0.15670801305873341,50.13583239991352,81.01497921944737,0.14195438365710578,0.14195438365710578,0.8822768263306812,10
