participant_id,color,contingency,stage_pair,n_early,n_late,dominant_cosine,top2_mean_angle_deg,top2_max_angle_deg,eigenvalue_distance,spectral_radius_diff,operator_frobenius_distance,early_predicts_late_skill
69ab872f2dc6e02760face50,blue,B_rich,2v4,36,36,0.1555912809888634,16.93404735501917,16.93404735501917,0.3406257832368223,0.2629967048633922,0.7819599765971353,0.02658600014765722
69ab872f2dc6e02760face50,green,A_rich,2v4,36,36,0.8216935814499056,18.601380521175066,37.20276104235012,0.08145950626415621,0.08145950626415621,0.5384451242248735,0.5008463128920377
69ab872f2dc6e02760face50,green,B_rich,1v3,36,36,0.44374646365801407,17.96812027860796,35.936240557215875,0.9561834408119727,0.06894662340969027,0.7487117528230187,0.5221264685984545
69cbcb9a5c8b56847e4ebda5,blue,A_rich,1v3,36,36,0.3465191419252601,41.31123536920704,82.62247073841408,0.6227531229386026,0.00806310090585316,0.7211433007086574,0.4004528114331526
69cbcb9a5c8b56847e4ebda5,blue,B_rich,2v4,36,36,0.34692863910805954,13.631330287401651,13.631330287401651,0.3841615093347593,0.07228306451430927,0.30574497034089493,0.6125966927363751
69cbcb9a5c8b56847e4ebda5,green,A_rich,2v4,36,36,0.38703953935939683,67.2295841423751,67.2295841423751,0.23043640564483903,0.04468039210683511,0.7970277700843005,0.5654117413790789
69cbcb9a5c8b56847e4ebda5,green,B_rich,1v3,36,36,0.7905832479538879,13.44221663673194,26.88443327346386,1.0625066700127763,0.08104209873406343,1.162751878134784,0.6015940899336826
69ed0ecd116ddecaafd2d726,blue,A_rich,2v4,36,36,0.024656725827350803,88.58713048883865,88.58713048883865,0.10059999973698246,0.008699536818290915,0.2921777709067754,0.44519384689931873
69ed0ecd116ddecaafd2d726,blue,B_rich,1v3,36,36,0.7023906878570597,33.52808707249753,33.52808707249753,0.5475512892559351,0.15717084946411464,0.8678400767718849,0.5430407337227035
69ed0ecd116ddecaafd2d726,green,A_rich,1v3,36,36,0.5485281060912732,21.0626895626991,21.0626895626991,0.47569754034680317,0.06822819204519076,0.6152671424850957,0.5011690254674928
69ed0ecd116ddecaafd2d726,green,B_rich,2v4,36,36,0.3996206561471102,66.44553399387699,66.44553399387699,0.12014535193014146,0.11656108130889725,1.0664800017005087,0.03366820462355158
6a0415c09c578ebcf634a8f7,blue,A_rich,1v3,36,36,0.9453622037954311,17.237689005969884,17.237689005969884,0.31661661607162606,0.05713641065371422,0.5855382239395182,0.560168641026784
6a0415c09c578ebcf634a8f7,blue,B_rich,2v4,36,36,0.2926080596867735,72.98583855864067,72.98583855864067,0.16536372523465517,0.10988786905666181,0.5913908433443443,0.5470533385423931
6a0415c09c578ebcf634a8f7,green,A_rich,2v4,36,36,0.6092153807127375,31.616620069787857,31.616620069787857,0.17289083336593478,0.04942057945224698,0.5807889333025048,0.5801924195661852
6a0415c09c578ebcf634a8f7,green,B_rich,1v3,36,36,0.01688378941978863,13.651329986220306,13.651329986220306,0.5619217654489181,0.34687166470739117,0.8010648488987698,0.5743613450866232
6a17230d60e2a318a8073ab6,blue,A_rich,1v3,36,36,0.9472199265164458,18.69827562070961,18.69827562070961,0.08109354318690712,0.02207944208411336,0.24218616604004203,0.5152976937031312
6a17230d60e2a318a8073ab6,blue,B_rich,2v4,36,36,0.6368042878527734,4.0925966073299564,4.0925966073299564,0.12898074503092027,0.07481624761621952,0.4773080728581565,0.574758650247512
6a17230d60e2a318a8073ab6,green,A_rich,2v4,36,36,0.7538938702672353,38.161627669434594,38.161627669434594,0.4792237151940553,0.028480751778835356,0.6663204004530993,0.4587508862543719
6a17230d60e2a318a8073ab6,green,B_rich,1v3,36,36,0.28984891819795056,39.065360597846556,78.13072119569311,1.0050549886828344,0.06640695517406664,1.2277460204823272,0.5484323999854743
6a19b14498b3d36bccc467cb,blue,A_rich,1v3,36,36,0.04716831291409075,32.444924928794386,64.88984985758877,0.0829061667748463,0.0829061667748463,2.3631510446347392,-0.1166086146825831
6a19b14498b3d36bccc467cb,blue,B_rich,2v4,36,36,0.3180848289452127,40.53676547619782,81.07353095239564,0.21581603069105226,0.21581603069105226,1.7170294549804013,0.292641617386722
