participant_id,color,flipped,pre_last50,post_r1,post_first5,post_41_60,start_richness_gap
60324e0d654dbd21e0e7fa2d,#2E7D5B,True,0.52,0.0,0.0,0.44999999999999996,0.06999999999999995
60324e0d654dbd21e0e7fa2d,#2E7D5B,False,0.8,0.0,0.0,0.3,0.17000000000000004
60324e0d654dbd21e0e7fa2d,#2E7D5B,False,0.66,1.0,1.0,1.0,0.06999999999999995
60324e0d654dbd21e0e7fa2d,#2E7D5B,False,0.74,0.0,0.0,0.85,0.17000000000000004
60324e0d654dbd21e0e7fa2d,#2E7D5B,True,0.52,1.0,1.0,0.8,0.17000000000000004
60324e0d654dbd21e0e7fa2d,#2E7D5B,False,0.56,0.0,0.0,0.15000000000000002,0.17000000000000004
60324e0d654dbd21e0e7fa2d,#2E7D5B,False,0.7,0.0,0.0,0.55,0.17000000000000004
60324e0d654dbd21e0e7fa2d,#2E7D5B,False,0.54,0.0,0.0,0.8,0.17000000000000004
650f06d2017a53e840c5af61,#2E5C8A,False,0.62,0.0,0.8,0.6,0.17000000000000004
650f06d2017a53e840c5af61,#2E5C8A,False,0.5,0.0,0.0,1.0,0.17000000000000004
650f06d2017a53e840c5af61,#2E5C8A,False,0.7,0.0,0.0,0.15000000000000002,0.17000000000000004
650f06d2017a53e840c5af61,#2E5C8A,True,0.62,0.0,0.0,0.35,0.06999999999999995
650f06d2017a53e840c5af61,#2E5C8A,False,0.46,1.0,1.0,0.95,0.06999999999999995
650f06d2017a53e840c5af61,#2E5C8A,False,0.66,0.0,0.4,0.6,0.17000000000000004
650f06d2017a53e840c5af61,#2E5C8A,False,0.68,0.0,0.0,1.0,0.17000000000000004
650f06d2017a53e840c5af61,#2E5C8A,True,0.64,0.0,0.0,0.05,0.06999999999999995
650f06d2017a53e840c5af61,#2E5C8A,False,0.54,1.0,1.0,0.8,0.06999999999999995
650f06d2017a53e840c5af61,#2E5C8A,False,0.56,0.0,0.0,0.4,0.17000000000000004
650f06d2017a53e840c5af61,#2E5C8A,False,0.64,0.0,0.0,1.0,0.17000000000000004
650f06d2017a53e840c5af61,#2E5C8A,True,0.6799999999999999,0.0,0.0,0.30000000000000004,0.06999999999999995
650f06d2017a53e840c5af61,#2E5C8A,False,0.52,1.0,1.0,0.95,0.06999999999999995
650f06d2017a53e840c5af61,#2E5C8A,False,0.64,0.0,0.0,0.4,0.17000000000000004
650f06d2017a53e840c5af61,#2E5C8A,False,0.62,0.0,0.0,0.85,0.17000000000000004
650f06d2017a53e840c5af61,#2E7D5B,False,0.8,0.0,0.0,1.0,0.17000000000000004
650f06d2017a53e840c5af61,#2E7D5B,False,0.62,1.0,1.0,0.3,0.06999999999999995
650f06d2017a53e840c5af61,#2E7D5B,False,0.7,0.0,0.0,0.35,0.17000000000000004
650f06d2017a53e840c5af61,#2E7D5B,True,0.66,0.0,0.0,0.5,0.06999999999999995
